199.5,0.005
200.5,0.007
201.5,0.007
202.5,0.008
203.5,0.009
204.5,0.009
205.5,0.01
206.5,0.01
207.5,0.011
208.5,0.015
209.5,0.024
210.5,0.028
211.5,0.034
212.5,0.03
213.5,0.032
214.5,0.041
215.5,0.037
216.5,0.034
217.5,0.036
218.5,0.045
219.5,0.048
220.5,0.048
221.5,0.039
222.5,0.051
223.5,0.066
224.5,0.058
225.5,0.054
226.5,0.041
227.5,0.041
228.5,0.054
229.5,0.048
230.5,0.056
231.5,0.05
232.5,0.055
233.5,0.046
234.5,0.039
235.5,0.057
236.5,0.049
237.5,0.053
238.5,0.042
239.5,0.046
240.5,0.043
241.5,0.052
242.5,0.072
243.5,0.065
244.5,0.062
245.5,0.051
246.5,0.051
247.5,0.057
248.5,0.045
249.5,0.058
250.5,0.059
251.5,0.047
252.5,0.044
253.5,0.055
254.5,0.061
255.5,0.089
256.5,0.107
257.5,0.129
258.5,0.134
259.5,0.108
260.5,0.102
261.5,0.103
262.5,0.121
263.5,0.175
264.5,0.274
265.5,0.28
266.5,0.26
267.5,0.27
268.5,0.26
269.5,0.252
270.5,0.293
271.5,0.232
272.5,0.215
273.5,0.204
274.5,0.137
275.5,0.2
276.5,0.258
277.5,0.24
278.5,0.166
279.5,0.089
280.5,0.112
281.5,0.231
282.5,0.307
283.5,0.33
284.5,0.244
285.5,0.141
286.5,0.32
287.5,0.371
288.5,0.307
289.5,0.456
290.5,0.623
291.5,0.6
292.5,0.545
293.5,0.545
294.5,0.509
295.5,0.548
296.5,0.492
297.5,0.531
298.5,0.413
299.5,0.485
300.5,0.403
301.5,0.445
302.5,0.484
303.5,0.631
304.5,0.61
305.5,0.58
306.5,0.575
307.5,0.645
308.5,0.613
309.5,0.484
310,0.495
310.4,0.507
310.8,0.588
311.2,0.707
311.6,0.747
312,0.707
312.4,0.644
312.8,0.663
313.2,0.71
313.6,0.691
314,0.689
314.4,0.722
314.8,0.673
315.2,0.695
315.6,0.765
316,0.675
316.4,0.569
316.8,0.623
317.2,0.749
317.6,0.83
318,0.813
318.4,0.673
318.8,0.642
319.2,0.768
319.6,0.759
320,0.712
320.4,0.778
320.8,0.844
321.2,0.847
321.6,0.736
322,0.695
322.4,0.773
322.8,0.758
323.2,0.646
323.6,0.603
324,0.604
324.4,0.618
324.8,0.654
325.2,0.646
325.6,0.682
326,0.852
326.4,1.049
326.8,1.111
327.2,1.108
327.6,1.05
328,0.965
328.4,0.914
328.8,0.913
329.2,0.952
329.6,1.043
330,1.144
330.4,1.137
330.5,1.006
331.5,0.968
332.5,0.921
333.5,0.905
334.5,0.94
335.5,0.982
336.5,0.765
337.5,0.866
338.5,0.916
339.5,0.937
340.5,0.992
